"*:东芝壁挂式家用中央空调,""bn:商品编号"",""barcode:条形码"",""ibn:货号"",""col:品牌"",""col:销售价"",""col:商品名称"",""col:规格"",""col:重量"",""col:单位"",""col:可视状态"""
"东芝壁挂式家用中央空调,""BRAS-AV"","""","""",""东芝"",""19250.000"",""东芝壁挂家用空调室外机（小资型）"",""东芝IMS室外机"",""20000.000"","""",""显示"""
"东芝壁挂式家用中央空调,""BRAS-AV"","""",""B03#RAS-5M34S3AV4C"","""",""19800.000"","""",""RAS-5M34S3AV4C"",""20000.000"","""",""显示"""
"东芝壁挂式家用中央空调,""BRAS-AV"","""",""B03#RAS-4M27S3AV4C"","""",""19250.000"","""",""RAS-4M27S3AV4C"",""20000.000"","""",""显示"""
"*:Mini家用机,""bn:商品编号"",""barcode:条形码"",""ibn:货号"",""col:品牌"",""col:销售价"",""col:商品名称"",""col:规格"",""col:重量"",""col:单位"",""col:可视状态"""
"Mini家用机,""BMCY-M"","""","""",""东芝"",""20900.000"",""东芝Mini家用室外机"",""东芝Mini室外机"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MHP0305HT-C"","""",""20900.000"","""",""MCY-MHP0305HT-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MHP0404HT-C"","""",""28303.000"","""",""MCY-MHP0404HT-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MHP0604HT-C"","""",""29568.000"","""",""MCY-MHP0604HT-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MAP0401HT-C"","""",""32714.000"","""",""MCY-MAP0401HT-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MAP0501HT-C"","""",""33495.000"","""",""MCY-MAP0501HT-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MAP0601HT-C"","""",""34298.000"","""",""MCY-MAP0601HT-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MAP0604HT8-C"","""",""46200.000"","""",""MCY-MAP0604HT8-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MAP0804HT8-C"","""",""47355.000"","""",""MCY-MAP0804HT8-C"",""20000.000"","""",""显示"""
"Mini家用机,""BMCY-M"","""",""B11#MCY-MHP1004HT8-C1"","""",""47300.000"","""",""MCY-MHP1004HT8-C1"",""20000.000"","""",""显示"""
